data,1241749200,1554110.0;57362.0;1493205.0;61680.0;1456744.0;54127.0;1556138.0;83320.0;1.11913479691;1.00667246254;1.45063657444,4412.0 173.0 109696;4076.0 91.0 109697;8723.0 302.0 109698;4216.0 265.0 109699;7141.0 294.0 109700;2953.0 79.0 109701;3244.0 86.0 109702;10566.0 710.0 109703;1841.0 128.0 109704;2617.0 83.0 109706;393.0 8.0 109707;1640.0 95.0 109708;7429.0 303.0 109709;2368.0 93.0 109710;20603.0 916.0 109635;4876.0 157.0 109651;8012.0 90.0 109660;10339.0 276.0 109667;8350.0 303.0 109673;4489.0 221.0 109675;9715.0 399.0 109683;4035.0 203.0 109689;5665.0 235.0 109690,109696.0 8333;109697.0 8333;109698.0 8333;109699.0 8333;109700.0 8333;109701.0 8333;109702.0 8333;109703.0 8333;109704.0 8333;109706.0 8333;109707.0 8333;109708.0 8333;109709.0 8333;109710.0 8333;109635.0 8333;109651.0 8333;109660.0 8333;109667.0 8333;109673.0 8333;109675.0 8333;109683.0 8333;109689.0 8333;109690.0 8333,109696 378;109697 376;109698 325;109699 357;109700 354;109701 333;109702 402;109703 371;109704 370;109706 377;109707 360;109708 358;109709 377;109710 365;109635 371;109651 363;109660 349;109667 340;109673 359;109675 359;109683 346;109689 377;109690 366
data,1241749500,1554614.0;57384.0;1493738.0;61698.0;1457245.0;54136.0;1556643.0;83330.0;1.11899568899;1.0064341071;1.45025414488,4439.0 174.0 109696;4096.0 91.0 109697;8736.0 302.0 109698;4236.0 266.0 109699;7156.0 294.0 109700;2971.0 79.0 109701;3268.0 86.0 109702;10600.0 712.0 109703;1865.0 128.0 109704;2630.0 83.0 109706;420.0 10.0 109707;1657.0 97.0 109708;7443.0 303.0 109709;2406.0 94.0 109710;20631.0 917.0 109635;4899.0 158.0 109651;8032.0 90.0 109660;10366.0 277.0 109667;8396.0 305.0 109673;4506.0 221.0 109675;9734.0 399.0 109683;4060.0 205.0 109689;5689.0 237.0 109690,109696.0 11667;109697.0 11667;109698.0 11667;109699.0 11667;109700.0 11667;109701.0 11667;109702.0 11667;109703.0 11667;109704.0 11667;109706.0 11667;109707.0 11667;109708.0 11667;109709.0 11667;109710.0 11667;109635.0 11667;109651.0 11667;109660.0 11667;109667.0 11667;109673.0 11667;109675.0 11667;109683.0 11667;109689.0 11667;109690.0 11667,109696 462;109697 513;109698 510;109699 505;109700 505;109701 524;109702 483;109703 542;109704 496;109706 550;109707 492;109708 476;109709 509;109710 526;109635 523;109651 499;109660 507;109667 469;109673 498;109675 517;109683 510;109689 496;109690 555
data,1241749800,1555464.0;57421.0;1494564.0;61726.0;1458094.0;54165.0;1557518.0;83362.0;1.11877519811;1.0062883324;1.44985397545,4466.0 174.0 109696;4114.0 91.0 109697;8813.0 306.0 109698;4262.0 266.0 109699;7168.0 294.0 109700;2987.0 79.0 109701;3298.0 86.0 109702;10697.0 719.0 109703;1877.0 129.0 109704;2646.0 83.0 109706;446.0 11.0 109707;1747.0 102.0 109708;7460.0 304.0 109709;2434.0 94.0 109710;20721.0 920.0 109635;4916.0 158.0 109651;8056.0 90.0 109660;10436.0 278.0 109667;8427.0 305.0 109673;4519.0 222.0 109675;9755.0 399.0 109683;4100.0 208.0 109689;5717.0 238.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 880;109698 912;109699 866;109700 852;109701 870;109702 855;109703 854;109704 834;109706 893;109707 859;109708 874;109709 903;109710 848;109635 895;109651 900;109660 829;109667 857;109673 882;109675 861;109683 891;109689 818;109690 886
data,1241750100,1556264.0;57458.0;1495425.0;61764.0;1459046.0;54210.0;1558433.0;83398.0;1.11867399865;1.00633641753;1.4494400799,4481.0 175.0 109696;4130.0 91.0 109697;9005.0 317.0 109698;4309.0 268.0 109699;7190.0 294.0 109700;3003.0 80.0 109701;3311.0 87.0 109702;10785.0 726.0 109703;1894.0 130.0 109704;2667.0 83.0 109706;459.0 12.0 109707;1789.0 104.0 109708;7471.0 305.0 109709;2457.0 94.0 109710;20760.0 922.0 109635;4949.0 159.0 109651;8071.0 90.0 109660;10505.0 279.0 109667;8449.0 305.0 109673;4536.0 223.0 109675;9768.0 400.0 109683;4166.0 211.0 109689;5768.0 239.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 883;109697 855;109698 864;109699 837;109700 864;109701 804;109702 844;109703 895;109704 960;109706 848;109707 828;109708 895;109709 916;109710 875;109635 902;109651 849;109660 875;109667 887;109673 858;109675 846;109683 899;109689 845;109690 871
data,1241750400,1557141.0;57486.0;1496317.0;61792.0;1459933.0;54235.0;1559300.0;83424.0;1.1185991666;1.00626546629;1.44919617807,4486.0 175.0 109696;4134.0 91.0 109697;9285.0 322.0 109698;4381.0 271.0 109699;7247.0 297.0 109700;3016.0 80.0 109701;3332.0 87.0 109702;10913.0 732.0 109703;1911.0 130.0 109704;2689.0 85.0 109706;467.0 12.0 109707;1799.0 104.0 109708;7490.0 305.0 109709;2493.0 98.0 109710;20804.0 923.0 109635;4974.0 161.0 109651;8089.0 90.0 109660;10538.0 279.0 109667;8470.0 305.0 109673;4547.0 223.0 109675;9778.0 400.0 109683;4196.0 212.0 109689;5776.0 240.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 900;109698 883;109699 897;109700 858;109701 899;109702 872;109703 894;109704 885;109706 821;109707 894;109708 848;109709 859;109710 872;109635 872;109651 884;109660 859;109667 832;109673 855;109675 881;109683 876;109689 848;109690 868
data,1241750700,1558052.0;57517.0;1497155.0;61829.0;1460771.0;54254.0;1560208.0;83453.0;1.11869366754;1.00608655891;1.4489225629,4510.0 175.0 109696;4147.0 91.0 109697;9414.0 327.0 109698;4451.0 276.0 109699;7275.0 298.0 109700;3027.0 80.0 109701;3343.0 87.0 109702;11069.0 745.0 109703;1917.0 130.0 109704;2714.0 85.0 109706;478.0 12.0 109707;1814.0 104.0 109708;7498.0 305.0 109709;2573.0 100.0 109710;20905.0 929.0 109635;5013.0 163.0 109651;8118.0 90.0 109660;10548.0 279.0 109667;8482.0 305.0 109673;4559.0 224.0 109675;9798.0 402.0 109683;4211.0 212.0 109689;5789.0 240.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 829;109697 888;109698 849;109699 863;109700 886;109701 852;109702 866;109703 866;109704 914;109706 849;109707 920;109708 871;109709 916;109710 825;109635 928;109651 829;109660 859;109667 844;109673 903;109675 830;109683 845;109689 879;109690 889
data,1241751000,1558944.0;57545.0;1498018.0;61852.0;1461664.0;54284.0;1561024.0;83485.0;1.11856090417;1.00611404495;1.44884455098,4549.0 175.0 109696;4223.0 93.0 109697;9437.0 327.0 109698;4493.0 277.0 109699;7309.0 299.0 109700;3038.0 80.0 109701;3356.0 87.0 109702;11183.0 748.0 109703;1931.0 130.0 109704;2746.0 85.0 109706;494.0 13.0 109707;1866.0 107.0 109708;7518.0 305.0 109709;2618.0 101.0 109710;21109.0 938.0 109635;5031.0 163.0 109651;8144.0 90.0 109660;10567.0 279.0 109667;8499.0 306.0 109673;4566.0 224.0 109675;9809.0 403.0 109683;4230.0 212.0 109689;5800.0 240.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 875;109697 863;109698 882;109699 885;109700 918;109701 823;109702 903;109703 895;109704 846;109706 909;109707 882;109708 814;109709 848;109710 859;109635 809;109651 865;109660 900;109667 908;109673 886;109675 877;109683 838;109689 865;109690 850
data,1241751300,1559814.0;57567.0;1498902.0;61883.0;1462516.0;54313.0;1561830.0;83514.0;1.11865801044;1.00624186501;1.44885439005,4562.0 175.0 109696;4366.0 100.0 109697;9513.0 329.0 109698;4545.0 278.0 109699;7323.0 299.0 109700;3051.0 80.0 109701;3364.0 87.0 109702;11244.0 752.0 109703;1949.0 130.0 109704;2762.0 86.0 109706;501.0 14.0 109707;1922.0 109.0 109708;7534.0 305.0 109709;2667.0 101.0 109710;21327.0 946.0 109635;5047.0 166.0 109651;8176.0 90.0 109660;10583.0 280.0 109667;8512.0 307.0 109673;4578.0 224.0 109675;9818.0 403.0 109683;4242.0 212.0 109689;5814.0 240.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 845;109698 872;109699 797;109700 869;109701 872;109702 895;109703 906;109704 909;109706 888;109707 905;109708 878;109709 869;109710 859;109635 822;109651 878;109660 877;109667 827;109673 827;109675 897;109683 854;109689 924;109690 868
data,1241751600,1560643.0;57595.0;1499755.0;61909.0;1463358.0;54333.0;1562701.0;83554.0;1.11854189866;1.00607853963;1.44880568644,4580.0 176.0 109696;4547.0 104.0 109697;9548.0 330.0 109698;4597.0 280.0 109699;7337.0 299.0 109700;3063.0 80.0 109701;3376.0 87.0 109702;11264.0 752.0 109703;1963.0 131.0 109704;2774.0 87.0 109706;517.0 14.0 109707;1961.0 112.0 109708;7580.0 308.0 109709;2757.0 102.0 109710;21463.0 953.0 109635;5086.0 166.0 109651;8229.0 91.0 109660;10591.0 280.0 109667;8525.0 308.0 109673;4590.0 224.0 109675;9832.0 403.0 109683;4251.0 212.0 109689;5822.0 240.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 888;109698 872;109699 875;109700 855;109701 840;109702 863;109703 894;109704 881;109706 901;109707 824;109708 888;109709 904;109710 848;109635 870;109651 917;109660 809;109667 848;109673 899;109675 843;109683 901;109689 844;109690 893
data,1241751900,1561524.0;57622.0;1500573.0;61931.0;1464239.0;54360.0;1563577.0;83585.0;1.11843641867;1.00606910679;1.44866980744,4598.0 176.0 109696;4687.0 105.0 109697;9571.0 333.0 109698;4619.0 280.0 109699;7349.0 300.0 109700;3077.0 80.0 109701;3386.0 87.0 109702;11305.0 754.0 109703;1972.0 131.0 109704;2795.0 87.0 109706;524.0 14.0 109707;2027.0 113.0 109708;7744.0 314.0 109709;2814.0 105.0 109710;21500.0 954.0 109635;5158.0 166.0 109651;8266.0 91.0 109660;10603.0 281.0 109667;8536.0 308.0 109673;4601.0 225.0 109675;9843.0 404.0 109683;4264.0 212.0 109689;5832.0 241.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 910;109697 864;109698 844;109699 927;109700 794;109701 895;109702 922;109703 863;109704 801;109706 925;109707 857;109708 838;109709 825;109710 863;109635 929;109651 902;109660 844;109667 879;109673 869;109675 832;109683 890;109689 887;109690 840
data,1241752200,1562397.0;57645.0;1501442.0;61953.0;1465100.0;54387.0;1564445.0;83623.0;1.11836491485;1.00613808427;1.4487558319,4621.0 178.0 109696;4762.0 106.0 109697;9626.0 333.0 109698;4636.0 280.0 109699;7358.0 300.0 109700;3085.0 80.0 109701;3393.0 87.0 109702;11333.0 756.0 109703;1988.0 132.0 109704;2807.0 89.0 109706;534.0 14.0 109707;2063.0 114.0 109708;7950.0 319.0 109709;2939.0 110.0 109710;21516.0 954.0 109635;5243.0 167.0 109651;8338.0 92.0 109660;10609.0 281.0 109667;8550.0 308.0 109673;4610.0 225.0 109675;9858.0 405.0 109683;4275.0 212.0 109689;5846.0 241.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 833;109697 843;109698 841;109699 869;109700 897;109701 843;109702 897;109703 889;109704 886;109706 867;109707 883;109708 895;109709 844;109710 841;109635 860;109651 857;109660 856;109667 868;109673 886;109675 879;109683 907;109689 877;109690 882
